Microregião,CNPJ,Cod_Cliente1,T.O. 25kg,T.O. 50kg,Est. 40kg,Est. 50kg,códigos analisados,Pode Sanear Micro?,Códigos a retirar,Comentario E.I.
VC-MOJI DAS CRUZES,22861820000100,1647979,1,2,0,1,"CÓDIGO: 6054172, CÓDIGO: 6187066, CÓDIGO: 6054180, CÓDIGO: 6135552",,,
VC-MOJI-MIRIM,35079908000206,1623678,2,2,0,0,"CÓDIGO: 6172139, CÓDIGO: 6054172, CÓDIGO: 6165750, CÓDIGO: 6054180",,,
VC-MTA MERID PERNAM,30895373000139,1601151,1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6054188, CÓDIGO: 6054178",,,
VC-NAO-ME-TOQUE,91495549008991,1505237,1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190, CÓDIGO: 6054205",,,
VC-NORTE ARAGUAIA,28302504000185,1520860,1,2,0,1,"CÓDIGO: 6054184, CÓDIGO: 6135560, CÓDIGO: 6054187, CÓDIGO: 6132938",,,
VC-NOVA ANDRADINA,36779877000170,1624983,0,2,0,0,"CÓDIGO: 6165750, CÓDIGO: 6054190",,,
VC-NOVA FRIBURGO,17588407000184,1562507,2,1,0,1,"CÓDIGO: 6187067, CÓDIGO: 6112143, CÓDIGO: 6187066, CÓDIGO: 6162599",,,
VC-OSASCO,52637311000321,1648063,1,2,0,0,"CÓDIGO: 6054172, CÓDIGO: 6187066, CÓDIGO: 6054180",,,
VC-OURINHOS,20205619000140,1634985,1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190, CÓDIGO: 6054180",,,
VC-PACAJUS,23726979000185,1600786,1,2,0,0,"CÓDIGO: 6187345, CÓDIGO: 6111677, CÓDIGO: 6185568",,,
VC-PAJEU,39610317000185,1637471,1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6054188, CÓDIGO: 6054178",,,
VC-PALMAS,81750697000110,1551546,1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190, CÓDIGO: 6054205",,,
VC-PARANAIBA,43205660000111,1650701,0,2,0,0,"CÓDIGO: 6135560, CÓDIGO: 6165750",,,
VC-PARECIS,43941971000149,1641606,1,2,0,1,"CÓDIGO: 6054184, CÓDIGO: 6054187, CÓDIGO: 6165750, CÓDIGO: 6132938",,,
VC-PASSO FUNDO,18175803000142,1648437,1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190, CÓDIGO: 6054205",,,
VC-PICOS,37739155000154,1642127,2,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6187345, CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-PINDARE,29794683000188,1638276,1,2,0,0,"CÓDIGO: 6187345, CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-PIO IX,43940813000174,1648799,1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-PIRACICABA,19668644000180,1628235,1,2,0,1,"CÓDIGO: 6054172, CÓDIGO: 6165750, CÓDIGO: 6054180, CÓDIGO: 6135552",,,
