Microregião,CNPJ,Cod_Cliente1,T.O. 25kg,T.O. 50kg,Est. 40kg,Est. 50kg,códigos analisados,Pode Sanear Micro?,Códigos a retirar,Comentario E.I.
VC-VARZEA ALEGRE,41569794000196,1627603,2,1,0,0,"CÓDIGO: 6161835, CÓDIGO: 6187345, CÓDIGO: 6111677",,,
VC-TRES PASSOS,97320451010968,1601426,1,3,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190, CÓDIGO: 6054205",,,
VC-VAO DO PARANA,20735589000183,1556846,0,2,0,2,"CÓDIGO: 6135560, CÓDIGO: 6111677, CÓDIGO: 6132939, CÓDIGO: 8020801",,,
VC-SAO MIGUEL D EST,34425619000160,1633137,1,3,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190, CÓDIGO: 6054205",,,
VC-CARAGUATATUBA,32546842000130,1623099,1,3,0,1,"CÓDIGO: 6054172, CÓDIGO: 6187066, CÓDIGO: 6111677, CÓDIGO: 6054180, CÓDIGO: 6135552",,,
VC-NOVA FRIBURGO,17588407000184,1562507,2,2,0,1,"CÓDIGO: 6187067, CÓDIGO: 6112143, CÓDIGO: 6187066, CÓDIGO: 6111677, CÓDIGO: 6162599",,,
VC-SAO PAULO,31157385000129,1648253,1,4,0,0,"CÓDIGO: 6054172, CÓDIGO: 6187066, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6054180",,,
VC-MANAUS,41825558000193,1640502,0,3,0,0,"CÓDIGO: 6180473, CÓDIGO: 6111677, CÓDIGO: 6187022",,,
VC-CAPAO BONITO,15392273000104,1464082,1,3,0,1,"CÓDIGO: 6054172, CÓDIGO: 6111677, CÓDIGO: 6054190, CÓDIGO: 6054180, CÓDIGO: 6135552",,,
VC-CAMPO GRANDE,40719741000141,1647196,0,5,0,0,"CÓDIGO: 6054157, CÓDIGO: 6054187, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6054190",,,
VC-NAO-ME-TOQUE,91495549008991,1505237,1,3,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190, CÓDIGO: 6054205",,,
VC-IMPERATRIZ,44814271000156,1644207,0,2,0,0,"CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-ALTO ME CANINDE,43956043000158,1636636,2,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6187345, CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-CHAPECO,33712984000192,1635774,1,3,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190, CÓDIGO: 6054205",,,
VC-LIMEIRA,43391122000169,1631131,2,3,0,0,"CÓDIGO: 6172139, CÓDIGO: 6054172, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6054180",,,
VC-OURINHOS,20205619000140,1634985,1,3,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190, CÓDIGO: 6054180",,,
VC-CERRO LARGO,97081434001096,1617785,1,3,0,0,"CÓDIGO: 6054204, CÓDIGO: 6111677, CÓDIGO: 6054190, CÓDIGO: 6054205",,,
VC-BAIXA MARANHENSE,21461245000196,1576022,1,2,0,0,"CÓDIGO: 6187345, CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-BARREIRAS,16956269000186,1648434,0,4,0,3,"CÓDIGO: 6135560, CÓDIGO: 8020800, CÓDIGO: 6111677, CÓDIGO: 6054178, CÓDIGO: 8018790, CÓDIGO: 6132939, CÓDIGO: 8020801",,,
VC-ALTO TELES PIRES,22782709000129,1650466,1,3,0,1,"CÓDIGO: 6054184, CÓDIGO: 6054187, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6132938",,,
VC-MARILIA,04846880000172,1614983,1,3,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190, CÓDIGO: 6054180",,,
VC-FRANCISC BELTRAO,31175899000107,1637597,1,3,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190, CÓDIGO: 6054205",,,
VC-GARANHUNS,35503758000127,1632900,1,3,0,0,"CÓDIGO: 6161835, CÓDIGO: 6054188, CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-SOLEDADE,11380954000193,1529100,0,3,0,0,"CÓDIGO: 6111677, CÓDIGO: 6054190, CÓDIGO: 6054205",,,
VC-S JOSE DO R PRET,27752797000130,1626321,1,3,0,0,"CÓDIGO: 6172139, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6054180",,,
VC-CRUZ ALTA,38144065000183,1617231,2,3,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054204, CÓDIGO: 6111677, CÓDIGO: 6054190, CÓDIGO: 6054205",,,
VC-RECIFE,40166451000118,1627227,1,3,0,0,"CÓDIGO: 6161835, CÓDIGO: 6054188, CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-XANXERE,81546988000190,1625561,1,3,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190, CÓDIGO: 6054205",,,
VC-CURITIBANOS,89426415000135,1549424,1,3,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190, CÓDIGO: 6054205",,,
VC-CAMPINAS,40422956000104,1615189,1,3,0,0,"CÓDIGO: 6054172, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6054180",,,
VC-ALTO CAPIBARIBE,31343975000146,1635768,1,3,0,0,"CÓDIGO: 6161835, CÓDIGO: 6054188, CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-PONTA GROSSA,27138363000144,1595667,1,3,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190, CÓDIGO: 6054180",,,
VC-LINS,78457454000183,1643786,1,3,0,0,"CÓDIGO: 6054172, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6054180",,,
VC-ALTO SOLIMOES,43170152000145,1624652,0,4,0,1,"CÓDIGO: 6180473, CÓDIGO: 8020791, CÓDIGO: 6111677, CÓDIGO: 6187022, CÓDIGO: 8018790",,,
VC-MARINGA,40945626000195,1639963,1,3,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054178, CÓDIGO: 6054190",,,
VC-TANGARA DA SERRA,13281186000146,1546874,1,3,0,1,"CÓDIGO: 6054184, CÓDIGO: 6054187, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6132938",,,
VC-GUARULHOS,08488107000132,1097614,1,3,0,1,"CÓDIGO: 6054172, CÓDIGO: 6187066, CÓDIGO: 6111677, CÓDIGO: 6054180, CÓDIGO: 6135552",,,
VC-PARECIS,43941971000149,1641606,1,3,0,1,"CÓDIGO: 6054184, CÓDIGO: 6054187, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6132938",,,
VC-BREJO PERNAMBU,10658502000168,1648170,1,3,0,0,"CÓDIGO: 6161835, CÓDIGO: 6054188, CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-CORNELIO PROCOPI,28033904000132,1626333,1,3,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190, CÓDIGO: 6054180",,,
VC-SANTA ROSA,23982091000103,1546901,2,3,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054204, CÓDIGO: 6111677, CÓDIGO: 6054190, CÓDIGO: 6054205",,,
VC-RIO DO SUL,11456823000142,1635721,1,3,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190, CÓDIGO: 6054205",,,
VC-ALTO M GURGUEIA,23646870000219,1068563,2,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6187345, CÓDIGO: 6111677, CÓDIGO: 6054178",,,
